Id,Rarity Score,Rank,Attribute Count,Punk Type,Full Type,Hair,Eyes,Facial Hair,Blemishes,Neck Accessory,Mouth Prop,Mouth,Nose,Ears
41,98.27,5556,3,Male,Male-Dark,Wild Hair,Clown Eyes Green,Muttonchops,NONE,NONE,NONE,NONE,NONE,NONE
42,57.18,9858,2,Female,Female-Dark,Wild Hair,NONE,NONE,NONE,NONE,Cigarette,NONE,NONE,NONE
43,120.3,3363,1,Female,Female-Mid,Half Shaved,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
44,69.92,8885,1,Male,Male-Light,Messy Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
45,78.79,7809,2,Male,Male-Mid,NONE,NONE,NONE,Mole,NONE,NONE,NONE,NONE,Earring
46,106.54,4683,2,Female,Female-Mid,Straight Hair Dark,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
47,72.48,8663,1,Male,Male-Dark,Knitted Cap,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
48,59.78,9731,2,Male,Male-Light,Mohawk,Big Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
49,82.03,7418,2,Female,Female-Dark,Bandana,Purple Eye Shadow,NONE,NONE,NONE,NONE,NONE,NONE,NONE
50,154.28,1337,2,Male,Male-Mid,Fedora,NONE,NONE,Spots,NONE,NONE,NONE,NONE,NONE
51,76.96,8142,3,Male,Male-Mid,Wild Hair,NONE,Muttonchops,NONE,NONE,NONE,NONE,NONE,Earring
52,84.64,7113,4,Male,Male-Dark,Knitted Cap,Nerd Glasses,Shadow Beard,NONE,NONE,NONE,NONE,NONE,Earring
53,107.64,4546,2,Female,Female-Light,Straight Hair,Big Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
54,87.22,6813,1,Male,Male-Dark,Hoodie,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
55,107.98,4503,1,Male,Male-Light,NONE,Eye Patch,NONE,NONE,NONE,NONE,NONE,NONE,NONE
56,81.94,7425,1,Male,Male-Dark,Shaved Head,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
57,72.81,8643,1,Male,Male-Light,Headband,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
58,92.64,6246,2,Male,Male-Mid,Hoodie,NONE,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,NONE
59,134.19,2240,2,Male,Male-Albino,Cowboy Hat,NONE,Muttonchops,NONE,NONE,NONE,NONE,NONE,NONE
60,60.79,9648,2,Female,Female-Light,Stringy Hair,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
61,116.18,3709,1,Female,Female-Light,Dark Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
62,92.42,6274,4,Female,Female-Dark,Mohawk Dark,Clown Eyes Blue,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,Earring
63,80.78,7551,3,Male,Male-Dark,Shaved Head,Small Shades,NONE,NONE,NONE,NONE,NONE,NONE,Earring
64,108.42,4443,2,Female,Female-Mid,Straight Hair Blonde,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
65,81.27,7503,2,Female,Female-Mid,Headband,Eye Mask,NONE,NONE,NONE,NONE,NONE,NONE,NONE
66,109.02,4374,1,Female,Female-Dark,Tassle Hat,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
67,139.4,1958,3,Female,Female-Dark,Half Shaved,3D Glasses,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
68,69.66,8902,2,Male,Male-Dark,Do-rag,Nerd Glasses,NONE,NONE,NONE,NONE,NONE,NONE,NONE
69,107.8,4525,2,Male,Male-Mid,Fedora,NONE,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,NONE
70,81.81,7446,4,Female,Female-Mid,Crazy Hair,Regular Shades,NONE,NONE,NONE,Cigarette,NONE,NONE,Earring
71,140.99,1869,3,Female,Female-Light,Half Shaved,Green Eye Shadow,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
72,129.77,2510,4,Male,Male-Dark,Fedora,Nerd Glasses,Normal Beard,NONE,NONE,NONE,NONE,NONE,Earring
73,62.86,9417,3,Female,Female-Mid,Bandana,NONE,NONE,NONE,NONE,NONE,Black Lipstick,NONE,Earring
74,64.32,9266,3,Male,Male-Dark,Mohawk Dark,NONE,Shadow Beard,NONE,NONE,NONE,NONE,NONE,Earring
75,80.86,7544,3,Male,Male-Light,Knitted Cap,Eye Patch,Shadow Beard,NONE,NONE,NONE,NONE,NONE,NONE
76,63.49,9340,2,Male,Male-Light,Do-rag,NONE,NONE,NONE,NONE,Cigarette,NONE,NONE,NONE
77,79.47,7703,2,Male,Male-Dark,Stringy Hair,NONE,Handlebars,NONE,NONE,NONE,NONE,NONE,NONE
78,99.88,5411,3,Male,Male-Mid,Knitted Cap,Eye Patch,Handlebars,NONE,NONE,NONE,NONE,NONE,NONE
79,77.41,8060,2,Male,Male-Dark,Mohawk Dark,NONE,Normal Beard,NONE,NONE,NONE,NONE,NONE,NONE
80,87.86,6758,2,Male,Male-Albino,Wild Hair,NONE,Mustache,NONE,NONE,NONE,NONE,NONE,NONE
81,69.5,8921,2,Male,Male-Light,Headband,Small Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
82,84.16,7183,1,Male,Male-Albino,Headband,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
83,113.17,3932,3,Male,Male-Light,Shaved Head,Small Shades,NONE,NONE,NONE,Vape,NONE,NONE,NONE
84,61,9627,3,Male,Male-Light,Messy Hair,Big Shades,NONE,NONE,NONE,NONE,NONE,NONE,Earring
85,76.99,8137,1,Female,Female-Dark,Crazy Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
86,103.84,5007,4,Female,Female-Dark,Knitted Cap,Green Eye Shadow,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,Earring
87,62.31,9479,2,Male,Male-Light,Hoodie,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
88,66.78,9091,2,Female,Female-Light,Cap,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
89,300.78,130,1,Female,Female-Dark,NONE,NONE,NONE,NONE,Choker,NONE,NONE,NONE,NONE
90,78.73,7820,2,Male,Male-Mid,Hoodie,Eye Patch,NONE,NONE,NONE,NONE,NONE,NONE,NONE
91,137.64,2053,2,Female,Female-Light,Straight Hair,NONE,NONE,NONE,NONE,NONE,NONE,Clown Nose,NONE
92,158.8,1212,3,Female,Female-Light,Pink With Hat,Nerd Glasses,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
93,73.28,8592,1,Female,Female-Light,Bandana,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
94,149.46,1472,3,Female,Female-Dark,Pink With Hat,Regular Shades,NONE,NONE,NONE,NONE,NONE,NONE,Earring
95,46.39,9984,2,Male,Male-Mid,Mohawk,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
96,120.51,3343,1,Female,Female-Light,Blonde Bob,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
97,70.56,8836,1,Male,Male-Mid,Wild Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
98,216.97,476,3,Female,Female-Light,Dark Hair,Welding Goggles,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
99,68.78,8972,2,Male,Male-Mid,Hoodie,NONE,NONE,NONE,NONE,Cigarette,NONE,NONE,NONE
100,108.45,4441,1,Female,Female-Mid,Tassle Hat,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
101,85.17,7040,2,Male,Male-Mid,Police Cap,Nerd Glasses,NONE,NONE,NONE,NONE,NONE,NONE,NONE
102,122.42,3157,2,Male,Male-Mid,Vampire Hair,NONE,Luxurious Beard,NONE,NONE,NONE,NONE,NONE,NONE
103,142.28,1783,3,Female,Female-Dark,Blonde Bob,Green Eye Shadow,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
104,104.73,4917,4,Male,Male-Dark,Crazy Hair,Eye Patch,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,Earring
105,70.85,8814,1,Male,Male-Light,Mohawk Thin,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
106,121.93,3205,1,Female,Female-Light,Straight Hair Blonde,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
107,72.82,8642,1,Male,Male-Mid,Headband,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
108,64.76,9221,2,Female,Female-Light,Headband,NONE,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
109,113.79,3891,3,Male,Male-Dark,Fedora,NONE,Handlebars,NONE,NONE,NONE,NONE,NONE,Earring
110,79.02,7779,4,Female,Female-Dark,Mohawk Dark,NONE,NONE,NONE,NONE,Cigarette,Purple Lipstick,NONE,Earring
111,81.74,7458,2,Male,Male-Dark,Knitted Cap,NONE,Handlebars,NONE,NONE,NONE,NONE,NONE,NONE
112,131.83,2360,4,Male,Male-Mid,Bandana,Horned Rim Glasses,Big Beard,NONE,NONE,NONE,NONE,NONE,Earring
113,82.2,7397,1,Male,Male-Albino,Mohawk,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
114,120.86,3317,1,Female,Female-Dark,Red Mohawk,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
115,96.38,5780,2,Female,Female-Dark,Half Shaved,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
116,252.77,286,4,Female,Female-Dark,Tiara,Clown Eyes Blue,NONE,NONE,NONE,NONE,Black Lipstick,NONE,Earring
117,299.86,136,2,Zombie,Zombie,Messy Hair,NONE,Front Beard Dark,NONE,NONE,NONE,NONE,NONE,NONE
118,60.92,9638,2,Female,Female-Light,Bandana,NONE,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
119,52.2,9935,2,Male,Male-Mid,Cap,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
120,97.38,5665,2,Female,Female-Mid,Tassle Hat,Big Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
121,221.01,455,2,Female,Female-Light,Tiara,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
122,52.83,9924,2,Male,Male-Light,Mohawk,NONE,NONE,NONE,NONE,Cigarette,NONE,NONE,NONE
123,178.13,815,2,Female,Female-Mid,Wild White Hair,NONE,NONE,Spots,NONE,NONE,NONE,NONE,NONE
124,89.19,6646,3,Male,Male-Mid,Peak Spike,NONE,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,Earring
125,110.93,4131,3,Female,Female-Light,Tassle Hat,Big Shades,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
126,92.25,6300,4,Male,Male-Albino,Headband,Eye Patch,NONE,NONE,NONE,Cigarette,NONE,NONE,Earring
127,70.28,8864,2,Female,Female-Mid,Stringy Hair,Clown Eyes Green,NONE,NONE,NONE,NONE,NONE,NONE,NONE
128,158.36,1222,4,Male,Male-Light,Police Cap,NONE,Chinstrap,Mole,NONE,Vape,NONE,NONE,NONE
129,148.04,1528,4,Male,Male-Light,Cap Forward,Horned Rim Glasses,NONE,NONE,Gold Chain,Cigarette,NONE,NONE,NONE
130,70.85,8815,1,Male,Male-Light,Mohawk,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
131,105.64,4803,2,Female,Female-Mid,Straight Hair Dark,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
132,71.29,8771,1,Male,Male-Dark,Mohawk Thin,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
133,156.58,1266,3,Male,Male-Albino,Purple Hair,NONE,Chinstrap,NONE,NONE,Pipe,NONE,NONE,NONE
134,97.45,5656,1,Male,Male-Mid,Police Cap,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
135,87.55,6790,1,Male,Male-Light,Cap Forward,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
136,95.24,5927,3,Male,Male-Dark,Shaved Head,Clown Eyes Green,Shadow Beard,NONE,NONE,NONE,NONE,NONE,NONE
137,70.35,8861,1,Male,Male-Dark,Messy Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
138,58.7,9798,2,Male,Male-Light,Stringy Hair,Horned Rim Glasses,NONE,NONE,NONE,NONE,NONE,NONE,NONE
139,73.45,8573,2,Male,Male-Mid,Do-rag,Eye Patch,NONE,NONE,NONE,NONE,NONE,NONE,NONE
140,106.51,4687,1,Female,Female-Dark,NONE,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
141,111.77,4049,3,Male,Male-Dark,Headband,3D Glasses,Chinstrap,NONE,NONE,NONE,NONE,NONE,NONE
142,60.06,9707,2,Male,Male-Light,Mohawk,Regular Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
143,264.38,249,2,Male,Male-Light,Beanie,Horned Rim Glasses,NONE,NONE,NONE,NONE,NONE,NONE,NONE
144,86.05,6939,3,Male,Male-Dark,Frumpy Hair,NONE,Luxurious Beard,NONE,NONE,Cigarette,NONE,NONE,NONE
145,70.55,8837,1,Male,Male-Light,Wild Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
146,46.37,9986,2,Male,Male-Light,Mohawk,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
147,71.41,8753,2,Male,Male-Albino,Mohawk Thin,Regular Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
148,86.8,6855,1,Male,Male-Mid,Hoodie,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
149,91.68,6370,3,Male,Male-Light,Messy Hair,Big Shades,Luxurious Beard,NONE,NONE,NONE,NONE,NONE,NONE
150,82.37,7379,2,Female,Female-Mid,NONE,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,Earring
151,70.14,8871,2,Male,Male-Mid,Stringy Hair,VR,NONE,NONE,NONE,NONE,NONE,NONE,NONE
152,67.9,9028,2,Male,Male-Light,Mohawk Dark,Clown Eyes Green,NONE,NONE,NONE,NONE,NONE,NONE,NONE
153,83.2,7292,3,Male,Male-Mid,Cap,Eye Mask,NONE,NONE,NONE,NONE,NONE,NONE,Earring
154,79.62,7681,3,Male,Male-Dark,Hoodie,NONE,Shadow Beard,NONE,NONE,NONE,NONE,NONE,Earring
155,135.1,2187,2,Male,Male-Dark,Clown Hair Green,NONE,NONE,NONE,NONE,NONE,NONE,Clown Nose,NONE
156,84.67,7107,2,Male,Male-Dark,Cap Forward,Small Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
157,58.66,9801,2,Male,Male-Mid,Cap,NONE,NONE,NONE,NONE,Cigarette,NONE,NONE,NONE
158,91.53,6392,3,Male,Male-Light,Wild Hair,Regular Shades,Goat,NONE,NONE,NONE,NONE,NONE,NONE
159,45.3,9997,2,Male,Male-Light,Stringy Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
160,168.27,987,3,Female,Female-Mid,Pigtails,Clown Eyes Blue,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
161,61.27,9602,2,Female,Female-Dark,Frumpy Hair,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
162,92.22,6302,3,Male,Male-Mid,Frumpy Hair,Horned Rim Glasses,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,NONE
163,73.87,8545,2,Male,Male-Dark,Shaved Head,Eye Patch,NONE,NONE,NONE,NONE,NONE,NONE,NONE
164,74.22,8509,2,Female,Female-Mid,Stringy Hair,VR,NONE,NONE,NONE,NONE,NONE,NONE,NONE
165,89.81,6592,3,Male,Male-Mid,Mohawk Dark,NONE,Front Beard Dark,NONE,NONE,Cigarette,NONE,NONE,NONE
166,71.15,8789,2,Male,Male-Dark,Shaved Head,Regular Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
167,62.71,9438,2,Female,Female-Mid,Headband,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
168,190.82,674,3,Female,Female-Light,Blonde Bob,Blue Eye Shadow,NONE,NONE,Silver Chain,NONE,NONE,NONE,NONE
169,127.45,2696,3,Female,Female-Mid,Wild White Hair,Regular Shades,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
170,85.18,7039,3,Male,Male-Light,Peak Spike,Classic Shades,NONE,Mole,NONE,NONE,NONE,NONE,NONE
171,59.15,9773,3,Male,Male-Mid,Stringy Hair,NONE,NONE,Mole,NONE,NONE,NONE,NONE,Earring
172,138.84,1982,3,Female,Female-Mid,Blonde Bob,3D Glasses,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
173,186.08,716,5,Female,Female-Dark,Messy Hair,Clown Eyes Blue,NONE,Mole,NONE,Pipe,Hot Lipstick,NONE,NONE
174,62.06,9515,3,Male,Male-Dark,Wild Hair,Horned Rim Glasses,NONE,NONE,NONE,NONE,NONE,NONE,Earring
175,65.61,9159,2,Male,Male-Mid,Cap,Big Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
176,85.32,7026,4,Female,Female-Dark,Wild Hair,Regular Shades,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,Earring
177,75.6,8358,2,Male,Male-Dark,Bandana,NONE,Luxurious Beard,NONE,NONE,NONE,NONE,NONE,NONE
178,101.95,5217,1,Male,Male-Mid,Fedora,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
179,89.24,6643,3,Male,Male-Albino,Mohawk Thin,Classic Shades,Shadow Beard,NONE,NONE,NONE,NONE,NONE,NONE
180,223.83,425,2,Female,Female-Dark,Pilot Helmet,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
181,71.29,8772,1,Male,Male-Dark,Mohawk,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
182,92.53,6261,1,Male,Male-Albino,Peak Spike,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
183,106.3,4725,1,Male,Male-Light,NONE,NONE,Shadow Beard,NONE,NONE,NONE,NONE,NONE,NONE
184,128,2644,2,Female,Female-Dark,Blonde Bob,Green Eye Shadow,NONE,NONE,NONE,NONE,NONE,NONE,NONE
185,111.82,4043,2,Female,Female-Light,Wild White Hair,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
186,78.73,7821,2,Male,Male-Dark,Crazy Hair,NONE,Mustache,NONE,NONE,NONE,NONE,NONE,NONE
187,118.71,3471,1,Female,Female-Light,Straight Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
188,71.48,8745,3,Male,Male-Dark,Peak Spike,Nerd Glasses,NONE,NONE,NONE,NONE,NONE,NONE,Earring
189,61.87,9536,2,Female,Female-Light,Mohawk Thin,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
190,73.24,8596,1,Male,Male-Dark,Headband,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
191,75.51,8370,1,Female,Female-Dark,Mohawk,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
192,111.7,4057,4,Male,Male-Mid,Mohawk Thin,Nerd Glasses,NONE,NONE,NONE,NONE,NONE,Clown Nose,Earring
193,117.95,3540,3,Female,Female-Light,Tassle Hat,Green Eye Shadow,NONE,NONE,NONE,NONE,NONE,NONE,Earring
194,66.96,9080,2,Male,Male-Light,Wild Hair,Clown Eyes Green,NONE,NONE,NONE,NONE,NONE,NONE,NONE
195,109.65,4290,2,Female,Female-Light,Straight Hair Blonde,Nerd Glasses,NONE,NONE,NONE,NONE,NONE,NONE,NONE
196,110.03,4236,3,Female,Female-Light,Tassle Hat,Big Shades,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
197,63.16,9379,2,Male,Male-Dark,Frumpy Hair,Eye Patch,NONE,NONE,NONE,NONE,NONE,NONE,NONE
198,281.67,193,2,Male,Male-Mid,Beanie,NONE,Luxurious Beard,NONE,NONE,NONE,NONE,NONE,NONE
199,120.16,3373,2,Female,Female-Light,Blonde Short,Classic Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
200,75.21,8404,1,Female,Female-Dark,Wild Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
201,150.25,1442,4,Female,Female-Mid,Dark Hair,Blue Eye Shadow,NONE,NONE,NONE,Cigarette,Hot Lipstick,NONE,NONE
202,65.98,9140,3,Female,Female-Light,Headband,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,Earring
203,93.63,6126,3,Male,Male-Light,Messy Hair,Regular Shades,Front Beard,NONE,NONE,NONE,NONE,NONE,NONE
204,61.55,9573,2,Male,Male-Mid,Crazy Hair,Regular Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
205,92.9,6214,3,Male,Male-Mid,Mohawk Dark,Big Shades,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,NONE
206,115.09,3799,3,Male,Male-Light,Cap Forward,NONE,NONE,NONE,NONE,Cigarette,NONE,Clown Nose,NONE
207,102.86,5117,3,Male,Male-Light,Peak Spike,Eye Patch,NONE,NONE,NONE,Pipe,NONE,NONE,NONE
208,88.88,6675,3,Male,Male-Mid,Shaved Head,3D Glasses,NONE,NONE,NONE,NONE,NONE,NONE,Earring
209,60.24,9690,2,Female,Female-Dark,Stringy Hair,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
210,95.36,5915,2,Female,Female-Mid,Straight Hair Dark,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
211,76.42,8239,2,Male,Male-Dark,Mohawk Thin,NONE,Goat,NONE,NONE,NONE,NONE,NONE,NONE
212,62.8,9424,2,Female,Female-Dark,Crazy Hair,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
213,76.43,8236,1,Female,Female-Mid,Crazy Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
214,80.99,7530,2,Male,Male-Dark,Mohawk,NONE,Front Beard Dark,NONE,NONE,NONE,NONE,NONE,NONE
215,74.95,8440,1,Female,Female-Mid,Mohawk,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
216,68.98,8959,1,Male,Male-Mid,Bandana,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
217,80.35,7607,3,Male,Male-Mid,Mohawk Dark,NONE,Chinstrap,NONE,NONE,NONE,NONE,NONE,Earring
